candidate	count	files	forms	first_source
high level	7	3	"{""high level"": 2, ""higher level"": 4, ""higher levels"": 1}"	docs/en/preface.md:11
team	7	4	"{""teams"": 6, ""team"": 1}"	docs/en/preface.md:13
suggestion	7	3	"{""suggestions"": 6, ""suggestion"": 1}"	docs/en/preface.md:17
doesn't	7	6	"{""doesn't"": 7}"	docs/en/preface.md:27
dependency	7	5	"{""dependencies"": 7}"	docs/en/ch01.md:6
factor	7	5	"{""factors"": 6, ""factor"": 1}"	docs/en/ch01.md:6
initial design	7	3	"{""initial design"": 7}"	docs/en/ch01.md:16
designer	7	4	"{""designers"": 3, ""designer"": 4}"	docs/en/ch01.md:16
someone	7	5	"{""someone"": 7}"	docs/en/ch01.md:32
rest	7	6	"{""rest"": 7}"	docs/en/ch02.md:7
mindset	7	6	"{""mindset"": 7}"	docs/en/ch03.md:3
range	7	4	"{""range"": 3, ""ranges"": 4}"	docs/en/ch06.md:11
purpose	7	3	"{""purposes"": 5, ""purpose"": 2}"	docs/en/ch06.md:15
argument	7	4	"{""argument"": 3, ""arguments"": 4}"	docs/en/ch06.md:35
user interface code	7	1	"{""user interface code"": 7}"	docs/en/ch06.md:41
interface code	7	1	"{""interface code"": 7}"	docs/en/ch06.md:41
value	7	4	"{""value"": 5, ""values"": 2}"	docs/en/ch06.md:75
driver	7	3	"{""drivers"": 5, ""driver"": 2}"	docs/en/ch06.md:105
category	7	3	"{""categories"": 3, ""category"": 4}"	docs/en/ch06.md:139
condition	7	4	"{""conditions"": 4, ""condition"": 3}"	docs/en/ch06.md:153
variable	7	3	"{""variable"": 5, ""variables"": 2}"	docs/en/ch06.md:155
failure	7	2	"{""Failures"": 2, ""failure"": 1, ""failures"": 4}"	docs/en/ch10.md:27
good name	7	2	"{""Good names"": 1, ""good names"": 6}"	docs/en/ch14.md:3
design principle	6	4	"{""design principles"": 5, ""design principle"": 1}"	docs/en/README.md:9
discussion	6	4	"{""discussion"": 4, ""discussions"": 2}"	docs/en/preface.md:3
tool	6	3	"{""tools"": 5, ""tool"": 1}"	docs/en/preface.md:3
core	6	2	"{""core"": 6}"	docs/en/preface.md:3
decomposition	6	4	"{""decomposition"": 5, ""Decomposition"": 1}"	docs/en/preface.md:5
ability	6	4	"{""ability"": 6}"	docs/en/preface.md:7
fashion	6	5	"{""fashion"": 6}"	docs/en/preface.md:9
improvement	6	4	"{""improvements"": 4, ""improvement"": 2}"	docs/en/preface.md:9
review	6	5	"{""reviews"": 5, ""review"": 1}"	docs/en/preface.md:9
existence	6	6	"{""existence"": 6}"	docs/en/preface.md:11
variety	6	3	"{""variety"": 6}"	docs/en/preface.md:13
storage	6	4	"{""storage"": 6}"	docs/en/preface.md:13
amount	6	6	"{""amount"": 6}"	docs/en/preface.md:13
don't	6	5	"{""don't"": 3, ""Don't"": 3}"	docs/en/preface.md:17
thought	6	5	"{""thoughts"": 4, ""thought"": 2}"	docs/en/preface.md:23
today	6	4	"{""today"": 6}"	docs/en/ch01.md:18
section	6	4	"{""sections"": 2, ""Section"": 4}"	docs/en/ch01.md:36
obscurity	6	4	"{""obscurities"": 1, ""obscurity"": 3, ""Obscurity"": 2}"	docs/en/ch02.md:19
use	6	5	"{""use"": 5, ""Use"": 1}"	docs/en/ch04.md:21
information hiding	6	4	"{""Information hiding"": 1, ""information hiding"": 5}"	docs/en/ch05.md:25
hiding	6	4	"{""hiding"": 6}"	docs/en/ch05.md:25
benefit	6	5	"{""benefits"": 4, ""benefit"": 2}"	docs/en/ch06.md:7
special-purpose code	6	2	"{""special-purpose code"": 6}"	docs/en/ch06.md:7
general-purpose code	6	1	"{""general-purpose code"": 6}"	docs/en/ch06.md:7
decision	6	4	"{""decisions"": 2, ""decision"": 4}"	docs/en/ch06.md:11
general-purpose interface	6	2	"{""general-purpose interfaces"": 1, ""general-purpose interface"": 5}"	docs/en/ch06.md:15
type	6	2	"{""type"": 3, ""types"": 3}"	docs/en/ch06.md:21
view	6	3	"{""views"": 1, ""view"": 5}"	docs/en/ch06.md:21
backspace key	6	2	"{""backspace key"": 6}"	docs/en/ch06.md:25
sense	6	2	"{""sense"": 6}"	docs/en/ch06.md:93
device driver	6	3	"{""device drivers"": 4, ""device driver"": 2}"	docs/en/ch06.md:105
byte	6	3	"{""bytes"": 5, ""byte"": 1}"	docs/en/ch06.md:157
impact	6	4	"{""impact"": 6}"	docs/en/ch09.md:41
good comment	6	2	"{""good comments"": 5, ""better comments"": 1}"	docs/en/ch12.md:7
consistency	6	1	"{""Consistency"": 5, ""consistency"": 1}"	docs/en/ch17.md:3
design problem	5	4	"{""design problems"": 5}"	docs/en/README.md:9
large software	5	5	"{""large software"": 5}"	docs/en/README.md:9
large software system	5	5	"{""large software systems"": 3, ""large software system"": 2}"	docs/en/README.md:9
year	5	2	"{""years"": 5}"	docs/en/preface.md:3
science	5	2	"{""science"": 1, ""Science"": 4}"	docs/en/preface.md:5
university	5	2	"{""university"": 1, ""University"": 4}"	docs/en/preface.md:5
addition	5	4	"{""addition"": 5}"	docs/en/preface.md:7
code review	5	4	"{""code reviews"": 5}"	docs/en/preface.md:9
i've	5	1	"{""I've"": 5}"	docs/en/preface.md:13
i'm	5	2	"{""I'm"": 5}"	docs/en/preface.md:17
software complexity	5	5	"{""software complexity"": 5}"	docs/en/preface.md:17
mind	5	4	"{""mind"": 4, ""minds"": 1}"	docs/en/ch01.md:4
life	5	3	"{""life"": 5}"	docs/en/ch01.md:6
simple design	5	4	"{""simpler designs"": 2, ""simple design"": 2, ""simple designs"": 1}"	docs/en/ch01.md:8
role	5	2	"{""role"": 5}"	docs/en/ch01.md:14
concept	5	2	"{""concepts"": 5}"	docs/en/ch01.md:26
error	5	4	"{""errors"": 3, ""error"": 2}"	docs/en/ch01.md:26
cognitive load	5	3	"{""cognitive load"": 5}"	docs/en/ch02.md:19
load	5	3	"{""load"": 5}"	docs/en/ch02.md:19
more time	5	4	"{""more time"": 5}"	docs/en/ch02.md:19
good software	5	3	"{""good software"": 5}"	docs/en/ch03.md:3
solution	5	5	"{""solutions"": 1, ""solution"": 4}"	docs/en/ch03.md:17
general-purpose approach	5	1	"{""general-purpose approach"": 5}"	docs/en/ch06.md:11
other hand	5	5	"{""other hand"": 5}"	docs/en/ch06.md:13
hand	5	5	"{""hand"": 5}"	docs/en/ch06.md:13
text editor	5	2	"{""text editor"": 5}"	docs/en/ch06.md:21
operating	5	2	"{""operating"": 4, ""Operating"": 1}"	docs/en/ch06.md:105
operating system	5	2	"{""operating system"": 4, ""Operating System"": 1}"	docs/en/ch06.md:105
entry	5	1	"{""entries"": 5}"	docs/en/ch06.md:111
history list	5	1	"{""history list"": 5}"	docs/en/ch06.md:133
call	5	5	"{""call"": 4, ""calls"": 1}"	docs/en/ch06.md:137
form	5	3	"{""form"": 5}"	docs/en/ch06.md:153
statement	5	3	"{""statements"": 5}"	docs/en/ch06.md:153
